name,domain,url,hq,founded,funding_status,total_funding_usd,last_round,investors,crunchbase
DeepUll,deepull.com,https://deepull.com/,"Barcelona, Catalonia, Spain",2019-01-01,Late Stage Venture,91742679,Series C,"Alta Life Sciences, Asabys Partners, Centre for the Development of Industrial Technology (CDTI), Columbus Venture Partners, European Investment Bank, Kurma Partners, Mérieux Equity Partners, Panakes Partners, Werfen",https://www.crunchbase.com/organization/deepull
Defacto,getdefacto.com,https://www.getdefacto.com,"Paris, Ile-de-France, France",2021-05-01,,49276157,Venture - Series Unknown,"Citi, Citi Ventures, Global Founders Capital, Headline, Northzone, Viola Credit",https://www.crunchbase.com/organization/defacto-588a
DentaCore,dentacore.ch,https://dentacore.ch,"Baar, Zug, Switzerland",2021-01-01,,,,,https://www.crunchbase.com/organization/dentacore
Draig Therapeutics,draigtherapeutics.com,https://draigtherapeutics.com/,"Cardiff, Cardiff, United Kingdom",2024-01-01,Early Stage Venture,140000000,Series A,"Access Biotechnology, Intermediate Capital Group, SV Health Investors",https://www.crunchbase.com/organization/draig-therapeutics
Elyse Energy,elyse.energy,https://elyse.energy/,"Lyon, Rhone-Alpes, France",2020-01-01,,127037631,Venture - Series Unknown,,https://www.crunchbase.com/organization/elyse-energy
Enagás Renovable,enagasrenovable.es,https://enagasrenovable.es/,"Madrid, Madrid, Spain",2019-01-01,,,,Hy24,https://www.crunchbase.com/organization/enagás-renovable
Enodia Therapeutics,enodiatx.com,https://www.enodiatx.com/,"Paris, Ile-de-France, France",2025-01-01,Seed,24164712,Seed,"Bpifrance, Elaia, Pfizer Venture Investments",https://www.crunchbase.com/organization/enodia-therapeutics
Escape,escape.tech,https://escape.tech/,"Paris, Ile-de-France, France",2020-09-01,Early Stage Venture,23840708,Series A,"Balderton Capital, Frst, IRIS, Y Combinator",https://www.crunchbase.com/organization/escape-b74e
Evervault,evervault.com,https://evervault.com/,"Dublin, Dublin, Ireland",2019-08-01,Early Stage Venture,44400000,Series B,"Index Ventures, Ribbit Capital, Sequoia Capital",https://www.crunchbase.com/organization/evervault
FERNRIDE,fernride.com,https://www.fernride.com/,"Munich, Bayern, Germany",2019-09-20,M&A,81980361,Series A,"10x Founders, EUDIS Business Accelerator, Fly Ventures, Helantic, Intel Ignite, Speedinvest",https://www.crunchbase.com/organization/fernride
FYLD,fyld.ai,https://fyld.ai/,"London, England, United Kingdom",2020-01-01,Early Stage Venture,87911689,Series B,"Construction Startup Competition, Energy Impact Partners, Koru, NatWest Group, Ontario Teachers' Pension Plan",https://www.crunchbase.com/organization/fyld
Fifth Dimension AI,fifthdimensionai.com,https://www.fifthdimensionai.com/,"London, England, United Kingdom",2023-01-01,Early Stage Venture,35832530,Series A,"Female Innovators Lab Fund, HV Capital, Seedcamp, Speedinvest",https://www.crunchbase.com/organization/fifth-dimension-ai
Filigran,filigran.io,https://filigran.io/,"Paris, Ile-de-France, France",2022-10-01,Late Stage Venture,114652427,Series C,"Accel, Eurazeo, Insight Partners, Moonfire Ventures",https://www.crunchbase.com/organization/filigran
Firgun Ventures,firgun.vc,https://firgun.vc/,"London, England, United Kingdom",2025-11-01,,70000000,Undisclosed,"Ilyas Khan, Qatar Investment Authority",https://www.crunchbase.com/organization/firgun-ventures
Flinn,flinn.ai,https://www.flinn.ai/,"Vienna, Wien, Austria",2022-01-01,Early Stage Venture,28594566,Series A,"Cherry Ventures, HV Capital, Speedinvest, SquareOne Venture Capital",https://www.crunchbase.com/organization/flinn-comply
Flowdesk,flowdesk.co,https://www.flowdesk.co/,"Paris, Ile-de-France, France",2020-06-01,,171800000,Venture - Series Unknown,"Aglaé Ventures, Cathay Innovation, Eurazeo, HV Capital, Two Prime Lending",https://www.crunchbase.com/organization/flowdesk
Fonoa,fonoa.com,https://www.fonoa.com/,"Dublin, Dublin, Ireland",2019-01-01,Late Stage Venture,195000000,Series C,"Coatue, Headline, Index Ventures, OMERS Ventures",https://www.crunchbase.com/organization/fonoa-technologies
Frankenburg Technologies,frankenburg.tech,https://frankenburg.tech/,"Tallinn, Harjumaa, Estonia",2024-01-01,Early Stage Venture,41348485,Series A,"Blossom Capital, Plural Platform, Shellona",https://www.crunchbase.com/organization/frankenburg-technologies
Gensyn,gensyn.ai,https://www.gensyn.ai/,"London, England, United Kingdom",2020-01-01,Early Stage Venture,67300000,Series B,"7percent Ventures, a16z crypto, Eden Block",https://www.crunchbase.com/organization/gensyn
GetVocal AI,getvocal.ai,https://www.getvocal.ai/,"Paris, Ile-de-France, France",2023-01-01,Early Stage Venture,28814670,Series A,"Creandum, Speedinvest",https://www.crunchbase.com/organization/getvocal-ai
Gizmo,gizmo.ai,https://gizmo.ai/,"London, England, United Kingdom",2019-01-01,Early Stage Venture,25500000,Series A,"Ada Ventures, CapitalT, NFX, Shine Capital",https://www.crunchbase.com/organization/gizmo-93e3
Gradium,gradium.org,https://gradium.org/,"Paris, Ile-de-France, France",2025-01-01,Seed,70000000,Seed,"Eurazeo, FirstMark",https://www.crunchbase.com/organization/gradium
Granite Bio,granitebio.com,https://www.granitebio.com/,"Basel, Basel-Stadt, Switzerland",2021-01-01,Early Stage Venture,100000000,Series B,"Forbion Capital Partners, Novartis Venture Fund, Sanofi Ventures, Versant Ventures",https://www.crunchbase.com/organization/granite-bio
Gravis Robotics,gravisrobotics.com,https://www.gravisrobotics.com/,"Zürich, Zurich, Switzerland",2022-01-01,Seed,23000000,Seed,"IQ Capital, Zacua Ventures",https://www.crunchbase.com/organization/gravis-robotics
Guardian Metal Resources,guardianmetalresources.com,https://guardianmetalresources.com/,"London, England, United Kingdom",2021-04-22,IPO,1899697,Post-IPO Equity,"Duquesne Family Office, Premier Miton Group, Purebond, U.S. Department of Defense",https://www.crunchbase.com/organization/golden-metal-resources
Hedera Dx,hederadx.com,https://www.hederadx.com/,"Epalinges, Vaud, Switzerland",2021-07-01,Early Stage Venture,30964976,Series A,"Top Harvest Capital, Vsquared Ventures",https://www.crunchbase.com/organization/hedera-dx
Hello Vet,hellovet.co.uk,https://www.hellovet.co.uk/,"London, England, United Kingdom",2022-01-01,Early Stage Venture,27767261,Series A,"Addition, Future Positive",https://www.crunchbase.com/organization/hello-vet
Hercle,hercle.com,https://www.hercle.com,"Milano, Lombardia, Italy",2019-01-01,,10001831,Venture - Series Unknown,"F-Prime, PranaVentures, Tenity",https://www.crunchbase.com/organization/hercle-financial
Holosolis,holosolis.com,https://holosolis.com/,"Paris, Ile-de-France, France",2023-01-01,,254815137,Undisclosed,"Armor SA, Heraeus",https://www.crunchbase.com/organization/holosolis
Hubber,hubber-infra.co.uk,https://www.hubber-infra.co.uk/,"London, England, United Kingdom",2024-09-01,,,,"Christopher Fox, James Bayliss",https://www.crunchbase.com/organization/hubber-a3ca
Hypersonica,hypersonica.space,https://hypersonica.space/,"Weßling, Bayern, Germany",2023-01-01,Early Stage Venture,30499234,Series A,"General Catalyst, Plural Platform",https://www.crunchbase.com/organization/hypersonica
Hypr Space (Hybrid Propulsion for Space),hypr-space.com,https://hypr-space.com/,"Bordeaux, Aquitaine, France",2019-01-01,Early Stage Venture,32811461,Series A,"Bpifrance, France 2030, NACO, Red River West",https://www.crunchbase.com/organization/hypr-space
Hystar,hystar.com,https://hystar.com/,"Høvik, Akershus, Norway",2020-01-01,Late Stage Venture,61837484,Series C,"AP Ventures, European Union, Mitsubishi Corporation",https://www.crunchbase.com/organization/hystar-706a
Isembard,isembard.com,https://www.isembard.com/,"London, England, United Kingdom",2024-01-01,Early Stage Venture,59000000,Series A,"Notion Capital, Union Square Ventures",https://www.crunchbase.com/organization/isembard
JAAQ,jaqatwork.co.uk,https://www.jaaqatwork.co.uk,"London, England, United Kingdom",2021-01-01,Early Stage Venture,17318947,Series A,,https://www.crunchbase.com/organization/jaaq
Jack & Jill AI,jackandjill.ai,https://www.jackandjill.ai/,"London, England, United Kingdom",2025-01-01,Seed,20000000,Seed,Creandum,https://www.crunchbase.com/organization/jack-jill-ai
Juice,juice.uk.com,https://juice.uk.com/,"London, England, United Kingdom",2021-01-01,,33092508,Venture - Series Unknown,"Aern capital, Falco, Paragon Banking Group",https://www.crunchbase.com/organization/velocity-juice
Jutro Medical,jutromedical.com,https://jutromedical.com,"Warsaw, Mazowieckie, Poland",2019-01-01,Early Stage Venture,51153968,Series A,"Google for Startups, Inovo.vc, KAYA, mBank, ORBIT Capital, Rheingau Founders, RIO ASI, Warsaw Equity Group",https://www.crunchbase.com/organization/jutro
Karmen,karmen.io,https://www.karmen.io,"Paris, Ile-de-France, France",2021-01-01,,13329484,Venture - Series Unknown,"Fasanara Capital, Seventure Partners, Sienna Investment Managers",https://www.crunchbase.com/organization/karmen
Kraken Technology Group,krakentechnology.com,https://www.krakentechnology.com/,"London, England, United Kingdom",2020-01-01,,,,United States Special Operations Command,https://www.crunchbase.com/organization/kraken-technology-group
LAXEY,laxey.is,https://www.laxey.is/en/,"Vestmannaeyjar, Rangarvallasysla, Iceland",2021-01-01,,167901330,Venture - Series Unknown,"Arion Bank, Blue Future Holding",https://www.crunchbase.com/organization/laxey
LI.FI,li.fi,https://li.fi/,"Berlin, Berlin, Germany",2021-08-01,Early Stage Venture,52000000,Series A,"1kx, CoinFund, Multicoin Capital, Superscrypt",https://www.crunchbase.com/organization/li-finance-fbae
Lace Lithography,lacelithography.com,https://www.lacelithography.com/,"Bergen, Hordaland, Norway",2023-01-01,Early Stage Venture,40496415,Series A,"Atomico, Future Ventures",https://www.crunchbase.com/organization/lace-lithography
Latent Labs,latentlabs.com,https://latentlabs.com,"London, England, United Kingdom",2023-01-01,Early Stage Venture,50000000,Series A,"Radical Ventures, Sofinnova Partners",https://www.crunchbase.com/organization/latent-labs
Lawhive,lawhive.co.uk,https://lawhive.co.uk/,"London, England, United Kingdom",2019-01-01,Early Stage Venture,114200000,Series B,"Episode 1, Google Ventures, Mitch Rales, TQ Ventures",https://www.crunchbase.com/organization/lawhive
Light,light.inc,https://light.inc,"Copenhagen, Hovedstaden, Denmark",2023-01-01,Early Stage Venture,43000000,Series A,"Atomico, Balderton Capital",https://www.crunchbase.com/organization/light-e65e
Lightyear,lightyear.com,https://lightyear.com,"London, England, United Kingdom",2020-01-01,Early Stage Venture,58528798,Series B,"Lightspeed Venture Partners, Mosaic Ventures, NordicNinja VC, Sten Tamkivi, Taavet Hinrikus",https://www.crunchbase.com/organization/lightyear-2669
Lithosquare,lithosquare.com,https://www.lithosquare.com/,"Paris, Ile-de-France, France",2024-04-15,Seed,25000000,Seed,"AGORANOV, Kindred Capital, World Fund",https://www.crunchbase.com/organization/lithosquare
Lupa Pets,lupapets.com,https://lupapets.com,"London, England, United Kingdom",2023-06-06,Early Stage Venture,25000000,Series A,"Firstminute Capital, Singular",https://www.crunchbase.com/organization/lupa-pets
MATR Foods,matrfoods.com,https://matrfoods.com/,"Copenhagen, Hovedstaden, Denmark",2021-01-01,Early Stage Venture,23198896,Series A,"BioInnovation Institute, EIT Food, European Investment Bank, Export and Investment Fund, Novo Holdings",https://www.crunchbase.com/organization/matr-foods
MECH-I-TRONIC,mechitronic.com,https://www.mechitronic.com/,"Paris, Ile-de-France, France",2022-01-01,Private Equity,119453925,Private Equity,Three Hills Capital Partners,https://www.crunchbase.com/organization/mech-i-tronic
Maxion Therapeutics,maxiontherapeutics.com,https://www.maxiontherapeutics.com/,"Cambridge, Cambridgeshire, United Kingdom",2020-01-01,Early Stage Venture,90955464,Series A,"General Catalyst, LifeArc Ventures",https://www.crunchbase.com/organization/maxion-therapeutics
Meelo,getmeelo.com,https://getmeelo.com,"Marcq-en-baroeul, Nord-Pas-de-Calais, France",2019-01-01,,19665740,Venture - Series Unknown,"ISALT, ODYSSEE VENTURE",https://www.crunchbase.com/organization/meelo
Melvan,melvan.eu,https://melvan.eu/,"Avignon, Provence-Alpes-Cote d'Azur, France",2019-01-01,,29208542,Venture - Series Unknown,,https://www.crunchbase.com/organization/melvan
Meridial,meridial.org,https://meridial.org,"London, England, United Kingdom",2026-01-21,,,,ARIA,https://www.crunchbase.com/organization/meridial
Mirelo AI,mirelo.ai,https://www.mirelo.ai/,"Tübingen, Baden-Wurttemberg, Germany",2023-01-01,Seed,41000000,Seed,"Andreessen Horowitz, Index Ventures",https://www.crunchbase.com/organization/mirelo-ai
Mondu,mondu.ai,https://mondu.ai,"Berlin, Berlin, Germany",2021-01-01,Early Stage Venture,70378676,Series A,"Cherry Ventures, FinTech Collective, JPMorgan Partners, Valar Ventures, Vereinigte Volksbank Raiffeisenbank",https://www.crunchbase.com/organization/mondu
MoonLake Immunotherapeutics,moonlaketx.com,https://www.moonlaketx.com,"Zug, Zug, Switzerland",2021-03-01,IPO,590000000,Post-IPO Equity,"Biotechnology Value Fund, Cormorant Asset Management, Hercules Capital",https://www.crunchbase.com/organization/moonlake-immunotherapeutics
NEXSTUN,nexstun.com,http://nexstun.com,"Mauguio, Languedoc-Roussillon, France",2021-01-01,Early Stage Venture,47805362,Series A,The Global Emerging Markets Group,https://www.crunchbase.com/organization/nexstun
NIP Group,nipg.com,https://nipg.com,"Stockholm, Stockholms Lan, Sweden",2023-01-01,IPO,40000000,Post-IPO Equity,,https://www.crunchbase.com/organization/nip-group
NanoPhoria,nanophoria.com,https://nanophoria.com,"Milan, Lombardia, Italy",2022-01-01,Early Stage Venture,113501707,Series A,"CDP Venture Capital, EIC Accelerator, Sofinnova Partners, XGEN Venture",https://www.crunchbase.com/organization/nanophoria
Netomnia,netomnia.com,https://www.netomnia.com,"London, England, United Kingdom",2019-01-01,M&A,452589267,Series C,"Avenue Capital Group, DigitalBridge Investment Management, I Squared Capital, Palistar Capital",https://www.crunchbase.com/organization/netomnia
Neumirna Therapeutics,neumirna.com,https://neumirna.com,"Copenhagen, Hovedstaden, Denmark",2020-01-01,Early Stage Venture,20626829,Series A,"Angelini Ventures, Invivo Capital Partners",https://www.crunchbase.com/organization/neumirna-therapeutics
Neural Concept,neuralconcept.com,https://www.neuralconcept.com,"Lausanne, Vaud, Switzerland",2019-01-01,Late Stage Venture,136198005,Series C,"Alven, CES, CNB Capital, Forestay Capital, Foundation for Innovation and Technology (FIT), Goldman Sachs Alternatives, Venture Kick",https://www.crunchbase.com/organization/neural-concept
NexGen Cloud,nexgencloud.com,https://www.nexgencloud.com/,"London, England, United Kingdom",2020-01-01,Early Stage Venture,59000000,Series A,"DARMA Capital, Moore & Moore Investment",https://www.crunchbase.com/organization/nexgen-cloud-bf96
Nyobolt,nyobolt.com,https://nyobolt.com/,"Cambridge, Cambridgeshire, United Kingdom",2020-01-01,Late Stage Venture,173582009,Series C,"DRIVE35, H.C. Starck, IQ Capital, LocalGlobe, Symbotic, UK Research and Innovation",https://www.crunchbase.com/organization/nyobolt
OLIX,olix.com,https://olix.com/,"London, England, United Kingdom",2024-01-01,Early Stage Venture,250000000,Series A,"Crane Venture Partners, Hummingbird Ventures",https://www.crunchbase.com/organization/flux-computing
Octonomy,octonomy.ai,https://www.octonomy.ai/,"Köln, Nordrhein-Westfalen, Germany",2024-01-01,Seed,26508547,Seed,"Capnamic, Macquarie Capital",https://www.crunchbase.com/organization/octonomy
Onodrim Industries,onodrim.com,https://www.onodrim.com/,"Amsterdam, Noord-Holland, The Netherlands",2025-01-01,Seed,47421796,Seed,"Founders Fund, General Catalyst, Lakestar",https://www.crunchbase.com/organization/onodrim-industries
Orange Quantum Systems,orangeqs.com,https://orangeqs.com/,"Delft, Zuid-Holland, The Netherlands",2020-01-01,Seed,33047918,Seed,"Cottonwood Technology Fund, EIC Accelerator, European Innovation Council Fund, Ground State Ventures, Icecat Capital",https://www.crunchbase.com/organization/orange-quantum-systems
PhotonHub Europe,photonhub.eu,https://photonhub.eu/,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",2021-01-01,,,,European Commission,https://www.crunchbase.com/organization/photonhub-europe
Photoncycle,photoncycle.com,https://www.photoncycle.com,"Oslo, Oslo, Norway",2020-01-01,Early Stage Venture,22778803,Series A,"Lifeline Ventures, NordicNinja VC, Voima Ventures",https://www.crunchbase.com/organization/photoncycle
Pit,pit.com,https://pit.com/,"Stockholm, Stockholms Lan, Sweden",2025-01-01,Seed,16000000,Seed,Andreessen Horowitz,https://www.crunchbase.com/organization/pit-e351
Plancraft,plancraft.com,https://plancraft.com/de-de,"Hamburg, Hamburg, Germany",2020-02-01,Early Stage Venture,59634191,Series B,"Creandum, Headline",https://www.crunchbase.com/organization/plancraft
Planetary,planetarygroup.ch,https://www.planetarygroup.ch/,"Geneva, Geneve, Switzerland",2022-01-01,Early Stage Venture,31991549,Series A,"Astanor Ventures, Cosun Protein, Oetker Ventures, Radikal Capital",https://www.crunchbase.com/organization/planetary-758b
Proxima Fusion,proximafusion.com,https://www.proximafusion.com/,"Munich, Bayern, Germany",2023-01-01,Early Stage Venture,213305127,Series A,"Balderton Capital, Cherry Ventures, EIC Accelerator, German Federal Ministry of Research, Technology and Space, Intel Ignite, Plural Platform, redalpine, UVC Partners",https://www.crunchbase.com/organization/proxima-fusion
Qdrant,qdrant.tech,https://qdrant.tech/,"Berlin, Berlin, Germany",2021-10-29,Early Stage Venture,88268073,Series B,"42CAP, AVP, Spark Capital, Unusual Ventures",https://www.crunchbase.com/organization/qdrant
QuantWare,quantware.com,https://quantware.com/,"Delft, Zuid-Holland, The Netherlands",2020-11-01,Early Stage Venture,206933240,Series B,"European Innovation Council, FORWARD.one, InnovationQuarter, Invest-NL",https://www.crunchbase.com/organization/quantware
QuiX,quixquantum.com,http://www.quixquantum.com,"Enschede, Overijssel, The Netherlands",2019-01-01,Early Stage Venture,42217805,Series A,"EIC Accelerator, EIC Scaling Club, European Innovation Council Fund, Invest-NL",https://www.crunchbase.com/organization/quix-42ff
Quobly,quobly.io,https://www.quobly.io/,"Grenoble, Rhone-Alpes, France",2022-01-01,Early Stage Venture,27936222,Series A,"Bpifrance, EIC Accelerator, EIC Scaling Club, France 2030, Innovacom, Quantonation, Supernova Invest",https://www.crunchbase.com/organization/quobly
R3 Robotics,r3robotics.ai,https://r3robotics.ai/,"Foetz, Luxembourg, Luxembourg",2021-06-01,Early Stage Venture,21302198,Series A,"Amazon, BONVENTURE, EIC Accelerator, HG Ventures, Suma Capital",https://www.crunchbase.com/organization/circu-li-ion
ReOrbit,reorbit.space,https://www.reorbit.space/,"Helsinki, Southern Finland, Finland",2019-11-05,Early Stage Venture,73558069,Series A,"Icebreaker.vc, Inventure, Springvest",https://www.crunchbase.com/organization/reorbit
Relay,relaytech.co,https://www.relaytech.co/,"London, England, United Kingdom",2022-01-01,Early Stage Venture,45000000,Series A,"Plural Platform, Project A Ventures, Prologis Ventures",https://www.crunchbase.com/organization/relay-e3e4
Renaissance Fusion,renfusion.eu,https://renfusion.eu/,"Fontaine, Rhone-Alpes, France",2020-07-20,Early Stage Venture,50860237,Series A,"Crédit Mutuel Impact, Lowercarbon Capital, Unruly Capital",https://www.crunchbase.com/organization/renaissance-fusion
Renalfa IPP,renalfa.com,https://www.renalfa.com,"Vienna, Wien, Austria",2022-01-01,,,,European Bank for Reconstruction and Development,https://www.crunchbase.com/organization/renalfa-ipp
ReproNovo,repronovo.com,http://www.repronovo.com,"Lausanne, Vaud, Switzerland",2021-01-01,Early Stage Venture,65000000,Series A,"AXA Alternative Investments, Jeito Capital, M Ventures",https://www.crunchbase.com/organization/repronovo
Rerun,rerun.io,https://www.rerun.io,"Stockholm, Stockholms Lan, Sweden",2022-01-01,Seed,20369858,Seed,"Costanoa Ventures, Point Nine",https://www.crunchbase.com/organization/rerun-c67d
Ripple Prime,ripple.com,https://ripple.com/solutions/prime-brokerage/,"London, England, United Kingdom",2019-01-01,M&A,50000000,Series A,"Castle Island Ventures, Neuberger Berman",https://www.crunchbase.com/organization/hidden-road
SPRK Capital,sprkcapital.co.uk,https://www.sprkcapital.co.uk/,"London, England, United Kingdom",2020-01-01,,28883055,Venture - Series Unknown,British Business Investments,https://www.crunchbase.com/organization/sprk-capital
Satsuma Technology,satsuma.digital,https://www.satsuma.digital/,"London, England, United Kingdom",2019-12-12,IPO,,Post-IPO Equity,"Fineqia, Flatiron Labs",https://www.crunchbase.com/organization/streaks
Saturn AI,saturnos.com,https://www.saturnos.com/,"London, England, United Kingdom",2023-07-13,Early Stage Venture,17727486,Series A,"Singular, Y Combinator",https://www.crunchbase.com/organization/saturn-fd05
Scope AI,getscope.ai,https://www.getscope.ai/,"London, England, United Kingdom",2024-01-01,Early Stage Venture,20000000,Series A,Index Ventures,https://www.crunchbase.com/organization/scope-ai
ShanX Medtech,shanxmedtech.com,https://shanxmedtech.com,"Eindhoven, Noord-Brabant, The Netherlands",2019-04-01,Seed,17541808,Seed,"Borski Fund, Netherlands Enterprise Agency",https://www.crunchbase.com/organization/shanx-medtech
Sipay,sipay.com.tr,https://sipay.com.tr,"Istanbul, Istanbul, Turkey",2019-01-01,Early Stage Venture,93000000,Series B,"Anfa, Elephant",https://www.crunchbase.com/organization/sipay
Skyral Group,skyral.com,https://www.skyral.com/,"London, England, United Kingdom",2023-01-01,Early Stage Venture,20000000,Series A,NOIA Capital,https://www.crunchbase.com/organization/skyral-group
Sokin,sokin.com,https://sokin.com,"London, England, United Kingdom",2019-03-17,Early Stage Venture,80955120,Series B,"BlackRock, Morgan Stanley, Oxford Finance LLC, Prysm Capital",https://www.crunchbase.com/organization/sokin
Solve Intelligence,solveintelligence.com,https://www.solveintelligence.com/,"London, England, United Kingdom",2023-06-02,Early Stage Venture,55000000,Series B,"Intel Ignite, The Twenty Minute VC, Visionaries Club",https://www.crunchbase.com/organization/solve-intelligence
SolveAI,solve.ai,https://solve.ai/,"London, England, United Kingdom",2025-01-01,Early Stage Venture,50000000,Series A,"Accel, Google Ventures",https://www.crunchbase.com/organization/solveai
Sovereign Network Group,sng.org.uk,https://www.sng.org.uk/,"Basingstoke, Hampshire, United Kingdom",2023-01-01,,,,"Barclays, Lloyds Banking Group, NatWest",https://www.crunchbase.com/organization/sovereign-network-group
Stacks,stacks.ai,https://stacks.ai/,"Amsterdam, Noord-Holland, The Netherlands",2024-04-05,Early Stage Venture,33420879,Series A,"EQT Ventures, General Catalyst, Lightspeed Venture Partners",https://www.crunchbase.com/organization/stacks-87ce
